DÃ­a,Juvenil,Para_larva_por,Para_larva,Huevo,Pupa,Adulto
0  ,1.04   ,0.339         ,0.35256   ,0.208,1.04,1.04
31 ,0.898  ,0.229         ,0.205642  ,     ,    ,
62 ,0.975  ,0.176         ,0.1716    ,     ,    ,
92 ,0.939  ,0.324         ,0.304236  ,     ,    ,
123,0.998  ,0.292         ,0.291416  ,     ,    ,
153,0.416  ,0.349         ,0.145184  ,     ,    ,
184,0.154  ,0.294         ,0.045276  ,     ,    ,
215,0.106  ,0.375         ,0.03975   ,     ,    ,
243,0.13   ,0.267         ,0.03471   ,     ,    ,
274,0.481  ,0.127         ,0.061087  ,     ,    ,
304,0.316  ,0.312         ,0.098592  ,     ,    ,
335,0.922  ,0.265         ,0.24433   ,     ,    ,
365,1.409  ,0.125         ,0.176125  ,     ,    ,
396,1.06   ,0.271         ,0.28726   ,     ,    ,
