DÃ­a,Estado 1,Estado 2,Estado 3,Estado 4,Estado 5,Pupa
0,0,60,150,95,145,92
7,0,27,70,70,90,104
14,0,10,50,55,80,75
21,200,50,10,5,20,25
30,355,30,20,10,15,21
36,780,220,50,5,10,3
43,150,60,145,20,15,5
50,15,380,340,75,50,0
58,5,185,275,140,143,15
65,0,50,160,165,100,30
72,5,57,120,135,147,72
77,10,40,60,55,55,73
84,320,95,40,20,50,72
91,345,130,20,10,10,15
98,78,180,50,10,10,0
105,,,,,,
112,30,205,200,60,25,0
122,0,50,160,100,90,11
128,0,40,45,60,65,32
133,0,10,20,20,50,42
140,0,5,15,10,10,26
147,60,5,10,5,0,17
154,110,65,15,0,0,7
161,10,80,20,5,0,3
169,10,95,50,10,0,0
176,5,15,50,20,0,0
182,,,,,,
189,5,5,15,25,20,7
196,10,5,5,5,0,10
203,10,5,5,5,0,5
211,13,5,5,5,0,0
217,15,10,5,5,0,0
225,20,30,5,5,0,0
232,10,10,5,5,0,0
238,5,15,20,10,0,0
247,5,10,10,5,0,0
253,10,5,5,5,0,0
260,10,5,5,5,0,0
267,5,5,0,0,0,0
273,0,0,0,0,0,0
280,0,0,0,0,0,0
287,0,0,0,0,0,0
294,0,0,0,0,0,0
301,0,0,0,0,0,0
